labels,samples
2,"[-0.001838949219693909, -0.8624623554259893, 0.2173968603884388, -1.7446058504795054, -0.11188975229390223, 0.7173271408743086, -0.41927997824426466, 1.2148021193047351, 1.235677407726929, 0.14323897383331693]"
2,"[-0.42955073906837027, -0.5416775031567775, 1.1890064719661155, -0.44783911349025834, -1.2411395192610508, 0.796371044449038, -1.6339148965375003, -1.9637041038415808, 0.14611318753210684, -1.4746305592322577]"
1,"[-0.0654782661597068, 0.010542472604020631, 0.32736823470776005, 1.5106990807339862, -0.3837056939413926, -0.8836680695203408, -0.6460979907292675, -1.1315310453023728, 0.3885822477481607, -1.2031116272693716]"
2,"[-1.478367126260075, -0.010266841695884902, -0.05359865404103821, -1.6700675205975022, 0.7558216988343147, 1.550878089620989, 0.6142910688467991, -0.7874594825087946, 0.15290551977798997, 0.6934361595034579]"
2,"[-0.9309497842988453, -0.10442581493182916, -0.5949641856016822, -0.42940408051026574, 1.1502783054662489, -0.8686707738369739, 1.4989538777553377, -1.0549453808703464, 1.682465227915767, -1.1705421334273445]"
2,"[-1.2644268034261732, -0.2916174085725501, -0.5428927255807232, -0.7450083599698709, -2.188409370443605, 0.48370646887777397, 0.6333476732135493, -0.5167957305190382, 1.5389631310532044, 0.4327718068702684]"
2,"[1.3223222811518167, 0.41656879563659893, -1.4533168959552154, -1.1807644250763119, 0.7179178567923337, 0.605032587539303, -0.8198696606190703, 1.000496628598856, -0.19805553648426716, 0.16816757290194273]"
1,"[-1.0542135150578216, -0.2576987796740546, -1.1683785992825868, -0.35249681137648137, -0.3470041314090957, -0.5046883705454958, -1.4609331481239272, 0.11757316654952232, -2.660953775427986, 0.7372641016895699]"
2,"[1.0180145961768123, 0.8034666526693475, 1.1191392805904967, -0.7619520358115844, 1.161063288567896, 0.899217159847781, -0.24257775997699949, -1.3869773776700787, 1.3480672646202947, -0.4764025775174913]"
2,"[-2.186506726325772, -1.3836056272062383, -1.0984361959030617, -0.9750675033263345, -1.532540267921427, 0.7819788211458255, -0.40585633809413896, 0.7986309756288955, -0.2745609103276313, -0.22550398870014915]"
2,"[0.059240065932712686, 0.26585345480869155, -0.6183427421576968, -0.18416513843376606, -0.5794867765975681, -1.5978821509422554, -0.25727271140884334, 0.8555344171589379, -1.9308671354057707, 1.0436874851691171]"
2,"[0.031109296788393255, 1.4354612730245118, 1.6195409274412678, -0.809622702818769, 1.5602730932613718, 0.3927169390152405, 0.15315078985261196, -0.8350897931231157, -0.17412776973927344, 1.482435049735751]"
2,"[0.6706761418251259, 0.5889648007869819, -1.1737310282188107, -0.6753763578884509, -0.7901816006715924, 1.3716238792600637, 0.26213080888678786, -0.565272185195716, 0.21393002784538903, 0.23841679868491805]"
1,"[-2.31482901123245, -0.6399067552652746, 1.5876120037069843, 0.9621802487135327, -1.4778656752189265, -0.24933264871935604, 1.247264393649813, 0.8948867028087165, -0.00615525673613114, -0.12485330701461785]"
1,"[-1.6727903611325934, -0.6030355193787184, -0.15529670793065728, 0.6198075365684457, 0.33866682395923253, 1.8236180063692669, -1.0174083190474914, -0.4343448183829143, 0.13657074910406486, -0.274793276014318]"
1,"[-0.2158209774065125, -0.47551349783152125, -0.43224729937829165, 1.44150030313772, -0.5141192357558866, -0.5561711260215046, 1.6042305117514652, -0.31321448246216754, -2.078550704214698, 1.470541538950989]"
2,"[-0.11365201759365452, -0.15744795210846182, 1.9769407535989443, -0.9896974215825325, 1.4994793405543991, -1.5590816316081522, 0.8055796997171132, -0.23121552272342236, 0.8704313620925643, 0.6056689953077921]"
2,"[0.14477774476529143, 0.8654638035902842, -1.5404428621006434, -0.42563091306694045, 0.6851947676375281, 0.5552507127840972, 0.4907708667107275, -0.8748828843622658, 1.799388766929237, -1.0865623204639936]"
2,"[1.2918021004464775, -1.2887207098045415, 0.2299753540037697, -1.525909289876681, 1.3686283414183098, -0.9078851303006479, -0.517673441514315, 0.7172998110243936, -0.8972664497644193, -2.5009346322631743]"
1,"[0.96753077507276, -1.245995260503583, 1.125271439035573, 1.0308257574980322, 1.013186986375099, -0.4368484242708557, 1.3324623493080379, -0.07753042734486058, -0.7738096168014498, 0.30113065366499736]"
2,"[-0.006233269331914479, 0.8704119431954138, 0.8951807821736627, -0.39899414190096916, 2.183342799159864, -0.5790697765821766, 0.5669741694271523, 1.3086572293783008, -0.42879005948746807, 1.4002903945503682]"
1,"[0.4360377574996816, 0.9630919001414915, 1.5091030482875902, 0.2790747848207912, -0.48769646403167316, -0.3322548841220672, 0.24171344920347912, 0.8789346072043797, -0.3997716270918064, -1.0481439207295085]"
1,"[0.7370517367979799, -1.053866378441077, -0.5825294516393875, 0.6832040103618715, -0.6983138156372923, -0.41054497678840995, -0.5283876309011902, -0.7945397322856655, 1.2616651944415815, 0.6859276493475996]"
2,"[-0.8915026236618284, -0.4386097083949312, -0.7169847133569426, -0.6797812101956041, -0.3826816593590164, -0.8519958694474251, -0.37696993479736085, -0.015637269212369086, -0.7470600731994084, -1.073879298518088]"
2,"[0.2982005489055703, -0.5681522202808895, 1.21732426746221, -1.3208000044674602, -1.5905450117658189, 1.6398965810277677, -1.2052769718216105, 0.14452108157976803, -2.4975088013442432, 0.8127684212037055]"
1,"[-1.0157245603341636, 0.6040696480026404, -0.04862704537775801, 0.280015293395824, 0.7766454828419184, -0.05730109050459448, -0.18744807486243042, 0.0937848649161971, 1.7667182017146026, -1.8341027613024283]"
1,"[0.8135301992140224, -0.09900890420621367, -0.20491949359658806, 0.1539435798680558, 0.22271034374883142, 0.8800764337350933, 1.028256151892266, 0.15610261509914072, -2.2162556673455467, 0.25388373483451604]"
1,"[-0.9851820011467712, -0.36028803725040487, 1.538150114606372, 1.0420886260126303, 0.5385539474408745, 0.028425928573349076, -2.2803631159375706, 0.7754699352825151, 0.635334142722208, 0.20989366945735513]"
2,"[1.3126354500340676, -0.645882501933136, -0.1909014993495299, -1.0210885289420049, 0.6819939314428992, 1.7891885784770842, 1.890610211526829, 1.0159785315745293, -0.5660639747022003, -0.1364542286084334]"
2,"[0.35989700672189306, -1.7785463813339912, 0.4215679374231174, -0.7609771597075617, -0.12881836039004407, -0.6625282801479013, -1.3298232678854562, -0.9254822992912042, 0.48429843406205625, 0.7130885600468223]"
1,"[-1.8821186822561227, 0.5462122235276619, -0.5300476577743318, 1.9018702956967704, 0.12831101474695067, 0.8537932227871008, -0.980236785152702, -0.5930976580199749, 0.5055641471683258, -0.42912975734879505]"
2,"[0.3172954973191362, -0.5533273335955211, 0.7348306939466174, -0.5744912026132218, 0.3181366198319006, 1.225703288450673, 0.19209210965025167, -1.800201710647315, 1.184467686652149, -0.316853212040056]"
2,"[-0.2905742622970166, 0.7810220650394134, 0.0988760709415311, -1.3652817520241474, 0.4726196343303351, -0.4076906136037669, -0.5441066662824972, -0.5538375868728005, 0.8593807678915066, -0.17660322145920404]"
2,"[0.13553034565876432, 1.8983868610427417, -0.8307871396220776, -1.3899765157773385, 0.3655526829945889, 0.7668641535626289, -0.6726869888165535, 0.1236410834901124, 1.890272302022064, 1.8795754720409965]"
1,"[-0.6392411847196661, 2.241201785738124, -0.6375084744442716, 0.24606162690293737, -1.19442595081187, -2.058681194192105, 1.4884698308850741, 1.584469793321153, 0.7498014253205629, -1.6820216150102947]"
2,"[0.5158740094274001, 0.6978184465081595, 1.8417571731093842, -1.2218161964298684, 0.9187626098834332, -0.15472381466984342, -0.49257785731211473, -0.05614375616397331, 1.6469780051780056, 0.8509258889383957]"
1,"[1.9652896382568719, 2.091636670344743, 0.505404568460994, 1.5568091714952077, -0.3337778918030466, -0.5827457430656251, -0.2548064680212257, 0.7257926653796182, 0.19429021519230943, -1.4035121996558486]"
1,"[1.6368081066460058, -0.5752152555198781, -1.327633829224919, 1.292935283910929, 0.2050629309458338, 0.37131983931100593, -1.28109435870232, 0.2792829503470107, 0.40503681083582843, -1.15376957796995]"
2,"[1.6592669477936257, -0.6064449611855861, -0.7187022127879188, 0.038513699084547486, -1.0876100568737368, 1.6182880095384957, 0.792451526378707, -0.134197759214389, -1.4963329528893368, -1.0948766500309826]"
2,"[0.5534759624987764, -1.4107281599760215, 1.0691604279693636, -0.528530683210562, 2.8227061884134352, 0.027803655138908995, -1.2543465723284641, 0.030844920177221034, 0.5706052846298459, 1.429802571174212]"
1,"[-1.1382152162585824, -0.22118020724619722, -0.39682910989316145, 0.8137086510796299, -0.7117549976556832, -0.9192681809306492, -1.6101308231832383, 1.3654917633679353, 0.6310564272981352, 0.5805082435040548]"
1,"[-1.5276567501854825, 0.18339531257321043, 0.22427637861916702, 0.5806987407270776, -0.8161179850941652, -0.5084321294193629, -1.0303917739475046, -1.2314104984306826, 0.2662608830487854, 0.3640411669537455]"
1,"[-1.816211000998922, 0.4376005591950684, 0.6050509531301288, 0.9895116312048629, 0.5801520029762739, -0.7190377907821188, -0.3048911075751426, 0.2960852433984342, 0.661628065605314, -0.023742157094154653]"
2,"[-1.6505054618227488, 1.8543874828171294, -1.016392276300068, -1.1196792886198814, 0.9657429632238137, 0.3587124783465777, -1.0112809001663567, 1.033177042983296, -0.5808066325268114, -0.20414401845224558]"
2,"[0.7527624484028981, 0.9000193969511067, 0.09486508141675143, -1.6702843748649314, 1.41247426353698, 0.0019747543893939177, -0.6616964274119135, 1.2427704739407213, -0.49660178046682957, 0.8592248695642204]"
2,"[1.35505996598786, -0.5767951878148493, 0.4486166493596271, -0.6688499157283028, -0.8505477985529313, -1.0265804994832433, -0.657492557774422, 0.7701792548638743, 0.4238995085997574, 1.556752704236114]"
1,"[-0.05539879440230086, 2.0113031898081313, 0.4729967632334838, 1.2430607386010557, 0.09074385756766219, -1.9309319994950873, 1.8205916120734031, 1.2050973029152843, 0.6300745390521596, -1.1898770027503704]"
2,"[0.530397644279781, 0.22250297734708513, -0.2844033489147179, -0.04856635863024055, -0.21718590435181928, -0.6192747114073415, -0.7320667730697675, -1.8619398268138898, -1.5194262682052688, -0.6121582062636434]"
2,"[-1.4955609209028675, -1.4501732965519127, -1.5958198420907537, -0.739651865944491, -1.0131968772210656, 0.2902785897857323, -1.1801009884869695, -0.808349614060275, -0.22878689800976934, -1.6015749364412235]"
2,"[0.6805186051135163, -0.9182168205687878, 1.2782602713866162, -0.7348471885817651, 2.127154289574772, 0.7650034042196449, -1.0588058323411935, -0.7828669976098711, -2.401137340288508, 0.7673173284894587]"
1,"[-0.887413464668512, 0.29439098188660856, 1.5308926322547474, 0.8241370179043893, 0.6062549823309059, -0.44622198702964083, -0.6431754822650491, 0.44628949464023454, 0.6497307335737851, 0.35015613105290316]"
1,"[0.3771976077563022, -1.4260663076335887, -1.8272662191243436, -0.13556606409415084, -0.06285317479209522, -1.2408742692501196, 0.8532553802652764, 0.7550631698600697, 1.963408130278874, -1.9817471042892285]"
2,"[-2.387642488610453, 1.0987533943154597, -0.1394136463968573, -0.9179752928788828, 0.9167652181980135, 0.5141017436266844, 0.34190684805104504, 1.5337690437739682, -0.22676680884469133, -0.7497461148612953]"
2,"[-1.1565360726338614, -0.3321682807312542, -0.513097347425607, -1.0150988979036846, 0.6435384621258842, 0.47758289355219463, 0.8123472966903068, -1.0194924513306867, 0.19885051784880076, -1.934914606870186]"
1,"[0.41676276402596224, 0.7602138358578423, -0.31837918161607376, 1.4637883717622115, -0.46132669978584195, -1.2940487990064273, -1.5881044758619607, -0.24000934089483858, -0.4317828220974645, 1.1437520291639331]"
1,"[1.231279495734206, -0.7527124019605491, -0.7366712173667679, 0.6801148051504153, 0.4750422508423389, -1.205839768977782, 0.7744612155059509, -0.865387830632585, 1.3219760673604457, -1.5398942570632725]"
2,"[-1.0701449598720805, -0.42225588997631114, -0.6279203720222312, -1.2595865948394478, -0.7465628534602752, -1.330761919811669, 1.1149816910668635, -0.452643823745836, -1.3482664579031463, 2.3597440729574]"
2,"[0.18395026039529475, -0.0013146154366044807, -1.4465659045666057, -0.35456951220936384, -1.4950319432181454, -0.7068017702249092, 1.0667050270037064, -1.1170979556255485, 1.579189833134679, 1.363513372211651]"
1,"[0.3340864792849753, -0.6677541470824763, 0.09453948008338456, 0.8250692976344526, 0.5460052844020558, 2.1888257318218947, -0.2870254153576697, -0.18143387816373183, -0.4733180259290503, 0.8200735578891356]"
2,"[-0.8084296294662658, -1.1140557222168062, 0.7529272733169027, -0.7823465019937044, 2.1452362472005526, -0.1410327872854391, 0.8671342805028475, 1.6593621562822833, -0.5473067352170361, 1.105922645046632]"
2,"[-0.5040161553033747, -0.5240215427368077, -0.12672566695305507, -1.1267531909953472, 1.3035660304521488, 0.14143179609438922, 2.0017338724297042, -0.3306146497612444, 0.1899899746989858, 0.25474999070148163]"
1,"[-0.757937670732376, -1.3885288090896752, 0.6045473183191608, 0.7839763820560491, -2.0752372390976856, 0.766254022048861, 0.3215347128797342, 0.6576431079165985, 0.9196107553344249, -0.6988538225042698]"
2,"[0.5788724880177142, 1.0884892599898193, -0.041531411642134246, -0.5317099216669777, -0.16256082412912648, 0.8779799287657276, 1.0545979226472966, -1.2529400514232971, 0.8079478438577875, 1.5845534739201277]"
1,"[-1.9025827868898388, 0.6651086394342506, -0.9961678636547094, 0.7431501778645953, -0.2494598861897808, 0.7692136152126614, 1.2795426353464319, -0.22164852141478664, -0.37197569163638966, -0.13125093755370293]"
1,"[0.7579420497944322, -1.3516901267531527, -0.2659459423358184, 1.2385300333708409, -0.9935520727326481, -1.9896624697855583, -0.48278021803506327, -0.929185066241925, 0.0005244501634982612, 1.2884119624030808]"
2,"[0.11218246845140348, 0.019359059071493774, -0.36287803050954687, -0.9312953726358328, 0.5267647347487743, 0.6969874000952607, 1.640025210503208, 1.121131438236378, 0.4756037573312695, 0.6475437847307346]"
1,"[0.3494788061225034, -0.1888425957610074, 0.6398998163072082, 0.9332151984709234, -0.797016652884108, 0.3033827576709898, 0.5294116947508701, -0.7971511253978734, -1.32748810538612, 1.668446949089429]"
1,"[0.841501267372782, 0.05952254398479636, -0.8844399558264352, 1.0836926980785453, -0.22987041917879555, -0.7924812334468875, 0.4551279213214664, 0.6109815562527124, 0.04152519553377099, 0.020575032591572468]"
1,"[-1.2475463075321223, -0.2929369124672513, 1.0550596053129402, 1.385254211573005, -1.1851071196122938, 1.334725594164574, 0.25301555724632663, -0.7341280862719354, -1.0018585372298916, 0.38074369286707743]"
1,"[2.828877295088642, -2.7019299982778935, -0.9267966906845999, 1.6959870148107212, 0.0007278392781710686, -1.5453238236600517, -1.0942005454090442, 0.3091432223056558, 0.08281467133716688, -1.098644815086842]"
2,"[0.6397897677771015, 0.8227177370409711, 0.09923308994741584, -0.7774024183162028, -1.4594161602430438, -1.3297956252915222, -0.29682204964556563, 0.5369880313554269, 1.3883308259059979, 0.1726139692955039]"
2,"[0.3261899267314641, -0.35515651264675185, -0.6698515402253814, -0.485347641009929, 1.609887510527523, -0.22388723029773167, -0.03176721476093446, -1.4045194134347, 0.8196834049374245, -1.34817638883173]"
2,"[-1.3573280200579105, 1.8814731215635412, 0.7784174782863903, -1.2417048306712217, 0.42928398200356577, -1.3631818598326355, 0.2732520188816439, -0.36584362979457985, 2.3050417601377555, 2.0821488789110583]"
1,"[-1.3071859794070309, 1.6736599390947762, -1.6096426659479282, 0.417488313653558, 0.1442132582616665, 0.8082701267075993, -0.04736967140020244, -1.6481308757374173, -0.0889164566304971, -0.24092104079096285]"
1,"[0.7040475445847603, 0.2691923639238195, 0.3201859643600416, 1.001733402183249, 0.8163166291631538, -0.3990141994568992, -2.150724539822764, 1.2372598974004863, 0.6275261346264732, -0.7905877286821094]"
2,"[-0.017785652089898057, -0.6181664094344039, -1.7435961969558798, -1.476159629390461, -0.12567286167284747, -1.0244141784700138, 0.3107813289157943, -0.21745934829648347, 1.1729174454604385, 0.07693922247370544]"
1,"[-0.21491770049455602, 0.7956179917562111, -0.42127681936546557, 0.9167962325084353, -0.48045424448520924, -0.037829497053594834, -0.9462420219784746, -0.007102867663663436, 0.11563676883585168, 0.5943031043755564]"
2,"[0.185395706895171, -0.24206439471118038, 0.17645868104698945, -1.9474110592972926, 0.7291845671975218, -1.0591866156211804, 1.3273348946366341, 0.148383957227318, -1.4252725026039477, -0.11882405106347828]"
2,"[-1.0129333532999198, 1.0646904446784813, -1.3575177480934948, -1.9952129037742834, 1.438136873071204, 1.1518733279778455, -1.504079342548214, 0.10955050482296065, -0.6273731177355859, 1.2718590886661016]"
1,"[1.6254866291346597, 2.4197699439749054, 0.6476590293684363, 0.46621566116475516, 0.5718723513528977, -0.786169458350892, 1.0263185328004456, -0.39051658264519556, 0.2526137626831876, 1.1640769051920627]"
1,"[-1.5789482310509013, 1.1561170899482598, 0.12585909138095802, 0.6985721044167957, 0.5833114816877691, 0.2995034140162854, 1.0508462981297837, -1.1936511929797362, 0.2675202391932588, -0.8310983809590661]"
2,"[0.4466451579927918, 0.7147039729106641, 0.5276282875393068, -0.12844472484768502, 3.0179338962952884, -0.6221260391118165, -0.11494614720574307, 0.16259512409018287, -0.7499954992694938, -1.1166107507197685]"
2,"[0.039166567531194, -0.9284093370843539, 1.7648257656706596, -1.164467923688957, -0.35538513799113713, -0.0036924870842627595, 0.31724742914233534, -0.52826579595834, 1.4498273365608783, 1.1316906393351855]"
1,"[-0.7292820244635412, 1.8765097903017294, 0.8270329943303849, 1.4149390437255855, -0.47105211581960377, 2.018414887017077, -1.2468222185211726, 1.151979722722925, -0.26644164672952264, -0.09783917056527967]"
1,"[-1.137156307175985, 0.7270168106517616, -0.6636651148914107, 0.04736842032133379, 0.4685077685072443, 0.4708329974852845, -3.162330543931036, -0.2555956185273061, -2.938250688172825, -0.4180152053281263]"
2,"[-1.6746020009751545, 0.37381513325894455, 0.11179635075182899, -0.4838069108018334, -0.05101677961923714, -1.3150988421447871, 0.6946359318730739, -0.25847250833931934, -0.42794946485770174, -0.16649978093773993]"
1,"[0.1528655316199826, -0.1703923287202141, -0.19903201217687824, 1.1643886242461856, -0.12320888767771021, -1.1349107157188403, 1.678213793423372, -0.18079344337641504, -0.02453366551116911, -0.5811830836850681]"
1,"[0.2729789824281376, 0.16562758496479132, -1.5339089382676114, 0.9170242199190584, 0.5239594158928449, 0.6159259140355338, -0.8808292878247437, 0.8082526976313843, 0.5192030765996506, -1.0612106662045242]"
1,"[-0.7450140973467828, -0.5613289961938162, -0.20877815501219027, 1.3237489199734307, -0.5337890877340891, 0.2953680782007462, 2.002738861585213, 0.35020299627288504, -0.05926220296189405, 0.1643101921255653]"
2,"[-1.6356542873694109, 1.0227907704300456, -0.20995108145285687, -0.6054069731632848, 1.3572923135413908, 0.9390892036811882, -0.2604806367932262, 2.4730041531827855, 0.8873917153715896, 1.4854491980569093]"
1,"[-0.6869795729573105, 0.020411623855918264, -0.857029464630629, 1.8287269970619338, 0.33698339964577, -0.811111998891351, -1.2024298375440552, -0.7140658585515275, -1.2037097782529353, 1.5979521402478232]"
1,"[-1.0025517720347987, 0.7952002211974447, -0.1257936093350253, 0.9492280467316858, 0.870185042194432, -0.7262055712854901, 0.8902128514699424, -0.31749789677543977, 0.08256791944219283, -0.879101235141894]"
2,"[1.5594233157068178, 0.9863839651906374, -0.20127599563519907, -0.7304021601491731, 1.3524511580157204, -1.7368879179289414, -1.3043699075438948, -1.027770476295229, -1.7152909601415356, -0.39295422164195765]"
2,"[-1.1830779695524196, 0.20060854471272135, -1.148144666130405, -0.3022190526631071, 1.7498278359567854, 0.15161178475113976, -0.3612157247956111, 1.4472313064839701, 0.5036290389463302, 0.6012149244436488]"
2,"[1.9248384975386599, -0.12627358747781123, -0.4181826546477979, -0.3901437771115196, -0.8121208717242758, -0.6239574454798432, -0.5354707944692134, -1.8214444866702926, -0.6662595781966412, -0.5727843349416748]"
2,"[-0.9431216441282045, 0.29590038148984005, -0.7512737707327946, -0.738173578148222, -1.1482016821631418, -0.6262219136851717, -0.03730269502947476, -0.6657758595724229, 1.0834110111922592, 0.9661168144507245]"
2,"[0.20780673946749592, -0.3419354308597128, -0.7904706493762089, -1.5464765618031584, 1.1990667380692548, -1.2518687784186169, -0.0751897812029861, -0.1582241972005931, 1.7625653980381928, 0.5916323886129513]"
2,"[2.2651663837853873, 0.19752572352452552, -0.06654559127044216, -1.5182429106634179, 0.9982621774617639, -0.8795813013874898, -0.5700725710933678, -0.1833906496420684, 1.4361187841882328, 2.0665543546880314]"
1,"[0.6081842306921929, 1.6119894087925113, 0.34211454772682304, 1.6215614685097692, -0.49630173302225544, 0.16852244476706976, -0.7306628032195223, 0.07612933437913957, -0.2747667075512404, -0.1601731392515402]"
2,"[0.5674197912252393, 0.7461669790182806, 0.13138669764273606, -1.0965107335836632, -1.7454718910832352, -0.2749359121097164, 0.11511597027324091, 2.618334209286938, -0.5862966062232879, 0.8352354338330912]"
1,"[0.8808812925636401, 0.3679869626845694, -0.25990708485761344, 0.5243931110487603, -0.47782658805682526, 0.46246620231555274, 0.9656423125366259, 0.6140307149157443, -2.1152645193598407, -0.1784997750018298]"
2,"[0.251748923385972, 0.8422889313212597, -0.2696941658722669, -0.5406033668800906, 1.5218135464460192, 0.24309508605433464, -0.8534202185865629, 0.6506145387950333, 0.33301699737371443, 0.8405845398288835]"
1,"[0.9611671485398775, 0.24247566541112336, -1.0421776169810866, 1.4541054414817398, 0.9149472364394263, 0.5941888405524832, -0.9780408838479162, 1.7483937385273234, -1.7760441435111416, -1.1367543173803936]"
2,"[-0.7598988395232001, 0.6746403188841317, -2.1792022264159603, -0.7474532950251931, -1.4964654751335196, 1.6673474400137176, 0.5865885427752098, -1.195547163687125, 0.34294952904650794, 0.5116442596611663]"
1,"[-0.40497611416301454, 1.3832052293920065, -0.039654919747204094, 1.0806877175155993, 0.502305569723759, 0.4512278429068928, -1.0674185894039006, 0.8889981481424224, 0.003984096027055548, 0.1942876335284548]"
1,"[-1.1841938420438793, 0.20397892225954864, -0.6215635296161183, 1.7058582404260814, 0.030502314635486236, -0.8058130623447451, -1.1823019147375329, -1.0728410744526478, 1.5879950874781512, 1.00074978157054]"
1,"[-1.2212953308802528, 0.19228026149575442, 0.3475555173765064, -0.37447024769331916, 1.0851472595281197, -0.3519683041597843, 1.2751870123464584, 0.2515507053715384, 0.15971730549277144, 0.18764921647485322]"
1,"[-0.4281592043661671, -0.9369481332582058, -0.41535030386777905, 0.43520259662417143, -0.08392685119778727, 0.8942875400549481, -1.048387109766038, -2.3553715234792763, 1.9335306736513316, -0.6479423439707888]"
2,"[-1.9120153170751677, -1.6531164679356296, 0.7671928007413743, -1.2580129492514747, -1.0296018180307704, 0.8462976104255852, 0.16001687576304544, 0.013170136062696708, -0.5963909088479732, -0.4410837045893918]"
2,"[1.508787931247043, 1.8067627242360922, -0.6070780784840216, 0.04193738264152499, 0.9368964099880714, 0.178882538580455, -0.6287800176015467, -1.9475381921927444, -0.307735218000055, -2.794121472606075]"
2,"[1.8096259343001064, 1.2325181016407951, 0.24695612997432995, -1.3871061010321275, -0.3440491101142183, 0.6755629810695142, 0.29370053322877343, -1.360771232045396, -1.2886477189303505, -0.8694323615171469]"
