class	feature 1	feature 2	feature 3	feature 4	feature 5	feature 6	feature 7	feature 8	feature 9	feature 10	
1	-0.072514	0.053787	-0.467753	1.023948	2.231142	0.307993	0.690031	0.954626	-0.755545	0.262225	
1	-0.622532	0.273372	-0.712500	1.028384	2.774780	-2.188355	0.386934	-1.593766	1.472642	1.099483	
1	0.804602	1.725818	-1.444771	-0.956361	1.308217	1.881504	-1.527890	1.927178	0.005147	1.095342	
1	-0.726807	-0.203150	1.597582	0.328940	2.128630	-1.280046	-0.090869	-0.134599	-0.764395	0.128534	
1	-0.621436	0.117307	0.716741	1.344058	2.944128	-1.269364	0.509912	-2.271942	-0.322857	0.136060	
1	-0.246717	-1.174494	0.418968	2.819684	2.278392	-0.861506	-0.493451	-1.641519	1.457794	-0.542970	
1	-0.129556	-0.722169	1.439808	0.503529	2.534267	-0.269051	-1.015574	1.272724	-1.784883	0.189834	
1	0.219465	1.027711	0.226908	2.303849	1.977554	-1.388501	0.217325	0.180104	0.521725	-1.768144	
1	0.498652	-0.549456	-0.684952	-1.289308	1.579014	3.048982	0.703298	-0.053922	0.851512	0.526076	
1	0.102059	-1.845128	-0.371958	0.425459	2.712116	-0.931871	0.993102	0.311309	0.745304	2.303923	
1	-0.905775	0.562675	0.667490	1.243238	2.428251	0.884561	2.479174	-0.976023	-1.372767	1.125960	
1	-0.334418	0.576406	1.963945	-2.420065	2.769624	0.684722	1.110643	0.365026	1.792015	-1.491096	
1	-0.285711	0.518157	0.707299	1.317589	1.679157	-0.846600	0.481517	-0.510142	-0.304943	1.299364	
1	-0.301011	0.827275	-0.261229	0.118058	2.038691	-0.920090	0.569748	0.261561	0.289869	-1.664135	
1	1.382038	-0.668605	-0.006449	-0.572122	2.739520	1.681937	0.818937	1.600499	-0.619202	1.268164	
1	2.382019	0.357855	0.423404	2.662092	1.246974	0.724988	0.608579	0.631450	-0.048662	0.055618	
1	-0.607708	-0.252547	-0.290284	1.416315	2.400275	-1.101214	-0.273402	1.404122	-1.371756	-1.491650	
1	0.072825	0.437819	-1.546773	-0.065275	2.334931	-0.280012	-1.743946	1.178258	-0.365287	-1.098669	
1	0.432691	-0.875469	-0.743112	0.479229	3.097845	-0.112832	0.018689	0.100290	-0.803592	0.200056	
1	1.338666	0.266900	-0.701075	-1.038381	3.391709	0.637743	-1.483348	-0.170674	-0.273301	0.961091	
1	0.188372	-0.207154	-1.077660	-0.489169	2.925771	0.976972	-0.182443	0.710914	0.340093	-0.772756	
1	-0.147507	1.942103	-0.526497	2.931259	1.204188	1.002931	-0.509273	-1.167911	0.060080	-1.126383	
1	0.444052	-0.117881	0.056874	3.836644	0.842841	0.975084	-0.172382	-0.129871	0.951579	-0.666654	
1	-1.332597	0.421224	-0.970443	2.073478	1.051225	0.297737	1.596513	0.541625	0.107335	0.738423	
1	0.245542	0.459842	-0.298683	-0.042275	2.512432	1.682555	1.195423	0.556763	-2.726866	0.894381	
1	-0.417725	-0.501745	0.873305	1.485686	1.625437	-0.841334	1.971009	-0.608480	-0.492348	0.078210	
1	-1.697396	1.184112	0.501264	0.232626	1.242036	2.081845	-0.414952	0.227855	1.117860	1.450819	
1	-0.614782	0.407786	0.446559	0.003141	1.866957	0.679158	-1.796196	0.007572	1.049753	-0.119656	
1	-0.295084	1.027958	-0.155765	2.397682	1.926230	1.458619	1.296673	-1.156629	1.984414	0.625910	
1	-0.101028	-0.677439	0.500490	3.819174	1.037135	-0.221274	0.477988	-0.916907	-0.741872	-0.946371	
1	-0.623278	-0.808857	-0.707625	1.389769	2.017645	-0.773781	0.181493	-0.433719	1.339766	0.281194	
1	0.675401	0.542488	-0.125940	2.389900	1.229328	0.538600	-1.275292	1.068280	0.170582	0.234343	
1	0.160532	0.684821	-2.278973	0.015437	1.409239	0.476589	0.078142	0.725006	0.706969	-0.456807	
1	-1.268093	0.616658	0.317949	0.621028	2.638440	0.490040	-0.876930	1.324311	0.316718	-0.359582	
1	-1.356639	0.981049	-2.005923	0.520852	1.621537	0.205832	-0.191369	0.880533	0.432067	0.661302	
1	0.835592	0.072865	-0.753381	2.875756	1.506053	0.680233	-0.749127	0.336122	0.226897	0.905568	
1	0.636367	-0.108310	1.309611	0.367044	3.060649	0.499988	-0.531185	0.031712	-0.439888	-1.170452	
1	-0.798088	-1.048560	1.671380	1.033198	2.726679	-0.769637	1.636901	0.205854	-2.377782	-0.539169	
1	-0.998175	0.092419	1.563092	1.854755	2.307493	-1.366855	1.984951	1.307115	-1.239086	1.376459	
1	-0.255446	0.564681	-1.090832	0.391912	2.220522	0.458514	-0.536357	0.268599	-1.545948	0.605751	
1	-0.126074	1.253946	-0.763478	-0.312497	1.358252	0.172352	-0.526809	1.024075	-0.478942	2.028369	
1	0.063974	-0.727676	-0.138019	0.687975	1.518222	0.495531	0.698130	-0.033768	-2.463869	-0.352227	
1	1.500761	0.482129	0.042070	-0.014634	2.555283	-1.483871	0.802163	-2.090792	0.349143	-0.176560	
1	1.429837	0.743397	-0.097490	0.231213	2.042588	-0.646680	-1.580007	-0.316059	0.971300	-0.204228	
1	-0.728924	1.096915	0.776490	2.236539	1.617369	0.199864	-0.779832	0.132936	-1.491409	-0.159023	
1	0.770706	-0.132433	0.011381	0.842344	3.464223	1.344863	-1.143477	-0.665029	-0.120222	1.152518	
1	0.903839	-1.080795	1.036663	2.161410	1.583084	-1.197793	0.462977	-0.046751	-0.509876	1.035951	
1	0.872625	-0.418563	0.375207	-0.926348	1.527538	0.131089	1.285612	-1.504244	-0.474441	4.090420	
1	0.630457	-0.790791	0.271202	0.862221	1.650217	0.219337	-0.375808	-0.673327	0.800878	1.345745	
1	0.454610	-0.017594	-0.471673	-0.386053	-1.928997	0.285633	0.607811	-0.800408	-0.225335	-2.118542	
1	-0.341502	-1.640663	0.455866	2.523198	-0.414063	-0.810615	-0.741598	-0.228205	-0.572569	-0.664135	
1	-0.649427	-0.659616	0.894757	3.057306	4.178983	-0.816737	-0.448738	0.460141	-1.101194	0.270397	
1	0.280744	-0.591201	1.360469	2.536958	0.786614	-0.548477	1.278238	0.566435	0.104934	-0.707957	
1	0.635786	0.768762	0.571324	0.798316	-2.013554	0.068705	0.199438	1.046659	0.292992	-0.327299	
1	0.660216	0.979148	-1.558198	0.755815	-1.444732	0.486625	0.556566	1.008541	0.106292	-0.090454	
1	-1.491649	0.524127	1.850382	2.871989	2.147506	2.068244	0.880427	-0.435626	0.353202	-0.445461	
1	-0.448754	-0.657343	-0.555710	1.361455	-0.622851	-1.598450	-1.063859	1.534746	0.732304	-1.811624	
1	0.465284	-0.582487	0.705040	3.154217	-0.407743	0.991179	0.842679	0.093346	1.027989	0.023864	
1	-0.004728	-1.713247	-2.840611	0.865838	-0.329035	1.043269	-0.756426	-0.988349	-0.589274	-0.983459	
1	-0.362940	1.323422	2.463474	2.536682	0.338069	-0.100794	0.981440	-0.943024	0.087843	0.300767	
1	-0.232491	-1.844275	-1.166339	1.036517	-1.904906	-0.947750	0.892898	-0.956019	0.456941	-2.510128	
1	-0.891437	0.829284	-0.703773	1.465547	0.868782	-0.346611	1.347870	-1.286460	0.053186	0.143755	
1	1.071067	-1.143565	-0.337670	1.322460	-0.480723	-0.336263	0.438222	1.295893	0.343100	-0.174190	
1	-0.249775	0.052984	0.306076	3.252349	0.186160	0.578173	0.767736	-0.262799	-1.022545	0.364012	
1	-1.093405	-0.231541	-1.059063	2.800707	2.453623	0.244114	-0.433392	1.012504	0.624151	-0.532921	
1	0.154740	0.787593	0.990305	2.194042	1.304608	0.716284	-1.476173	-0.513494	-0.484157	-1.092485	
1	-0.971869	1.398170	-2.026164	3.287577	-0.027012	-0.079975	-0.510023	1.428658	-0.179390	-0.163426	
1	0.212105	-0.255225	-0.027835	1.042056	-0.729847	0.585790	0.689417	0.347241	1.948165	0.227203	
1	-0.200711	1.329857	0.105734	0.284581	-0.934354	-0.097557	-0.457657	-0.944508	-0.082283	-0.893309	
1	0.877341	-1.430716	-0.308625	2.436124	-0.323305	1.792535	0.123272	0.797870	0.304505	-1.094972	
1	-1.372524	-1.347036	-1.819603	2.060673	0.466842	-0.704865	1.073843	0.603852	-2.473298	-0.441699	
1	-0.117274	0.650389	0.326536	2.068095	-0.052799	0.732958	1.572955	-1.559434	0.887656	-1.703354	
1	0.242275	0.544519	-0.955550	1.074389	-1.138864	2.255502	-0.077115	-1.395705	1.604074	-1.829196	
1	-0.783767	0.151994	0.656349	2.707953	-0.329033	-0.581295	-0.831921	0.138693	-1.155796	-1.885901	
1	-0.005874	-1.644702	-0.237369	2.498799	1.844731	0.070611	-0.709114	-0.702139	-0.223558	0.320483	
1	0.546593	0.772950	0.813907	0.677681	-0.841457	0.769204	1.883983	-0.520489	-0.742014	0.172850	
1	-1.149365	1.220892	0.716424	1.955830	-0.084652	0.090374	-1.848087	0.764116	-2.006374	0.059127	
1	0.512498	0.152731	0.259707	3.208846	1.409194	0.954017	0.208080	0.298530	-1.358355	3.228931	
1	1.358715	-0.170798	0.243426	1.907451	1.327885	0.296152	-0.323356	1.052731	-0.044083	0.450621	
1	0.035963	-1.041351	-0.244667	4.025724	1.796192	1.367047	-0.089697	0.295777	0.021041	0.635820	
1	-1.804928	-0.212549	0.698182	2.071908	-0.618398	-0.216252	-1.777702	1.458712	0.691082	-0.190334	
1	-0.374592	1.036527	-0.899002	1.753529	0.156054	-1.728259	-1.466205	-0.352188	-0.342405	-1.622880	
1	1.673487	0.087246	-0.143363	0.718315	-0.375984	0.789327	1.583541	0.141266	-0.333121	1.309325	
1	-0.746642	-0.010485	-0.116699	2.020760	-0.363369	-0.360196	-1.754747	-0.063791	1.554673	1.165015	
1	1.027664	0.564104	-0.427600	2.597381	-0.686157	0.047137	1.515992	0.132784	-0.729445	0.451996	
1	-0.355893	-0.766750	-0.411704	3.886835	0.172935	0.631135	-0.313105	-1.091660	-0.808344	-2.037243	
1	-0.802985	-0.389073	-0.556125	1.189641	-1.942535	-1.939665	-0.242881	0.695450	0.505628	0.686794	
1	0.054876	-1.245578	0.539034	1.789778	1.324910	-0.359276	-0.367793	-0.638779	0.558756	0.336504	
1	-0.330979	-1.590372	1.456560	2.077486	1.067235	0.587484	-0.923131	-1.011627	-0.033789	2.132978	
1	0.794424	-0.355826	1.109072	2.335380	-0.835068	-2.280638	0.701841	2.562975	0.018102	0.063399	
1	-0.326317	0.875122	-1.313093	2.430105	0.241693	-1.116867	-0.340415	-1.036510	-0.681405	-0.691689	
1	-1.424533	-0.415660	0.131571	3.479947	1.790592	-0.816486	0.382061	-2.296182	1.224207	-0.938319	
1	-0.418409	0.889929	0.394195	2.710909	0.049457	-0.485327	0.960845	-0.291674	0.207561	-0.303902	
1	-1.192591	-0.840752	-0.860640	1.440154	-0.229451	0.665019	0.340726	-0.878434	0.752666	-0.437848	
1	1.561536	-0.108086	-0.159049	4.403209	1.686252	-1.328313	-0.031181	1.808573	1.121654	1.077728	
1	0.682708	-0.741946	0.677089	1.449295	-1.662890	-0.126159	1.300579	0.508198	0.709923	2.262825	
1	0.556710	0.452049	-0.968122	2.424642	-0.535367	0.632914	-1.176799	0.275957	-2.072864	-1.226318	
1	1.058419	0.568172	-0.031549	3.492280	2.104373	0.469979	-0.976389	-0.404761	1.078494	-0.190072	
1	0.051925	-0.541787	0.917898	3.560005	1.128079	0.063516	-0.183658	-0.058316	-0.538622	-0.212889	
1	-0.373849	-0.857059	-0.098745	0.991121	-1.392749	0.556245	-1.846481	-1.809326	0.097973	-1.787013	
1	-2.102759	-2.891247	1.059691	1.828200	-0.208988	1.575581	0.592703	-0.657602	0.170321	0.175417	
1	1.360717	-1.475409	0.464260	1.226015	-1.749699	0.125633	-0.582565	1.100824	-1.711963	-0.504497	
1	-0.411002	0.866783	-0.673221	1.860614	-0.678295	1.625598	-0.341140	-1.200270	1.518897	-0.611234	
1	0.439279	2.014628	1.476135	1.844987	0.500828	1.799788	-0.572744	-0.777486	0.309340	1.181857	
1	-0.047503	0.411060	0.189697	0.727234	-0.279190	-0.481366	1.987394	0.511240	0.699090	0.659468	
1	0.453913	0.037729	-1.383400	2.379000	0.348714	-0.392537	-0.608183	0.317962	-0.139535	-0.727219	
1	-0.221617	0.535182	-0.784881	2.420206	0.649996	0.607410	-0.016105	0.783643	0.521841	0.867582	
1	-0.679263	-1.658181	-1.016477	1.805388	-0.969188	-0.751566	-0.499183	0.930434	-0.033250	-0.369591	
1	0.684610	1.056992	-2.316769	1.554115	-0.927045	-1.655369	0.162622	-0.329410	-0.271155	-0.619207	
1	1.428297	0.182946	-0.111380	1.661782	-0.744671	0.271736	0.046288	2.373097	1.063889	-0.015689	
1	-1.258606	-0.839601	0.223964	-0.216497	-1.692770	0.435436	0.738153	-0.136862	-0.065588	-1.015162	
1	1.696153	0.003900	0.493456	0.826455	-1.421242	0.197208	-1.190017	0.886041	-1.092966	-0.405153	
1	1.887821	0.064865	0.467991	1.089233	0.234859	-0.962003	-0.346654	-0.134943	0.568189	-0.516770	
1	0.745452	0.101283	0.451311	2.151560	-0.870056	-0.392200	-1.816176	0.259380	-0.772019	-0.282931	
1	0.977095	0.954393	-0.768185	2.223065	0.525335	1.030320	0.264233	-1.453351	-0.614742	-0.120859	
1	-0.897004	0.124648	-1.106091	1.580446	-1.065609	0.179983	0.937689	0.372033	-0.550485	1.973702	
1	0.737342	0.118135	0.328602	2.584045	0.610468	-0.193269	0.408466	-0.295864	1.115786	0.771572	
1	0.393883	1.446050	-0.653936	2.252339	0.373297	-0.574059	-0.837202	-1.477041	0.141285	-0.490986	
1	1.308669	-2.270746	0.124236	2.853680	-1.292185	-0.363181	0.513476	0.278737	-1.110072	0.941053	
1	1.107590	0.393961	-0.579178	1.960390	-0.247575	0.029741	-0.530290	-2.316076	-0.325475	0.823520	
1	-0.019690	-1.435470	-0.237611	2.094451	-0.598593	0.304111	-0.160781	0.384539	0.593813	0.953702	
1	0.586134	0.224953	1.065105	2.620951	2.588790	-0.702102	0.486319	1.016889	-0.178599	0.049566	
1	0.724845	1.563784	-0.610238	2.030637	1.076999	-0.995784	-1.629413	-0.618083	-0.486291	-1.343093	
1	-0.865865	-1.697418	-2.535761	3.069899	0.904561	0.043830	-0.890651	0.428534	-2.142629	0.620561	
1	0.790104	0.110984	-0.387754	1.377996	-1.201832	0.163041	-0.446313	0.317695	-1.195412	0.364494	
1	-0.146693	-0.773456	0.179518	2.459274	0.242082	0.034175	0.265341	-0.667093	-0.013347	-0.997157	
1	0.068417	0.832021	1.116260	1.849952	0.090052	-0.615752	-0.225654	0.086269	-1.808717	1.872243	
1	0.932236	0.316146	-0.323914	2.434595	1.455817	-1.659988	-0.158109	-1.185249	-0.478469	-0.346484	
1	0.494980	-1.205165	-0.013372	1.164039	-0.926209	-0.171724	-0.482954	0.687187	-0.513568	0.834770	
1	1.278331	0.612261	0.523703	2.798270	1.637540	0.865752	1.830467	0.976506	-0.685705	-1.016144	
1	-0.620000	0.800246	0.616725	-0.407227	-2.704580	1.810739	0.320417	-0.029192	-0.941524	1.407223	
1	-0.529931	-0.949783	1.094640	1.307574	0.462596	0.516697	-0.970291	-0.529071	0.843315	-0.269766	
1	-0.350149	-0.586604	-0.884646	4.164267	1.719012	0.336073	0.418248	1.987482	-1.692578	-0.530865	
1	-0.191183	1.400176	0.548992	3.655447	0.546073	0.462812	-2.135538	-1.727989	0.725679	0.850774	
1	0.163794	-0.349897	-0.580361	2.068960	1.209717	0.108030	0.910395	1.437031	-0.297493	-0.234217	
1	-0.706944	0.893210	0.104799	0.990977	-0.075957	-0.812469	-2.158878	0.888840	-0.271497	1.702883	
1	2.296328	1.497104	1.303721	1.416925	-1.103723	-0.609561	0.597354	1.126884	0.631042	1.835294	
1	0.427616	0.937372	-0.505371	1.316179	-1.273534	-1.147863	-1.678533	1.309524	0.491782	0.121325	
1	1.611813	1.404039	1.533295	2.560917	1.942295	-0.145728	-0.218418	-2.511448	3.122440	2.480164	
1	-0.651222	-0.448567	-0.041642	3.645157	1.340824	0.184024	-1.313179	0.470428	-1.398802	-0.597710	
1	-0.953354	0.892254	-0.577389	1.864487	0.059912	0.840553	0.227608	0.038762	0.788662	-0.837156	
1	-1.038562	1.519806	0.684984	1.947058	1.105883	-0.408609	-0.672696	0.038273	1.095374	-1.276183	
1	0.553514	1.159218	-1.002331	1.840975	-0.126049	-0.958638	-0.444769	-0.724627	0.684043	-1.240968	
1	0.486751	1.814500	-0.454358	3.249174	0.294010	0.326816	1.727175	-1.622326	0.206545	0.421655	
1	-0.829822	-1.701403	-0.346077	1.720397	-0.552709	-1.436374	-1.011006	-0.966445	0.623154	-0.412285	
1	-1.961187	0.801705	-0.872746	2.315566	1.473346	-1.042971	0.848924	0.372457	-2.781841	0.760768	
1	-1.361723	0.188672	0.631191	0.996840	-1.706945	-1.605243	-0.766744	0.059675	0.791200	0.305727	
1	0.019703	0.239955	0.976015	2.736068	1.877232	0.059029	-0.400579	0.589169	0.375214	-0.632569	
1	0.739065	1.163651	-0.658409	0.755333	-1.402795	0.327090	1.270044	0.781759	0.938065	-0.445098	
2	1.226036	1.008391	1.141347	-1.488691	-0.875010	0.230575	-0.566998	-1.071331	0.060870	0.384005	
2	1.999414	-0.356348	0.569674	-0.876738	-0.958595	1.486691	-0.095499	-1.038243	-0.772948	0.326350	
2	-0.791974	0.633361	0.843630	-2.381463	0.615505	0.695373	-1.477976	-0.359971	-0.644740	-1.392440	
2	0.292561	-0.415951	-0.233234	-1.321702	-0.745086	2.116414	0.122107	-1.465896	1.848466	0.132870	
2	-0.165338	0.695584	-0.902001	-0.926503	-0.571964	0.267209	-0.383116	-1.140498	1.282246	0.727722	
2	-1.179736	-0.522949	-0.588867	-1.458955	0.144494	0.482002	-0.448950	0.148464	-0.223381	-1.231993	
2	-1.025816	-0.420206	-0.618933	-1.950808	-1.371591	0.438096	0.144553	-1.296727	-1.204088	1.098551	
2	-1.882583	-0.956816	-0.885686	-0.505074	0.888282	0.560342	0.027061	-1.587007	-0.942207	-0.869846	
2	0.876349	-1.495289	0.013396	0.083972	-2.646022	0.835673	-0.002535	1.417643	2.214122	-0.102105	
2	-0.030990	0.436145	-0.282531	-1.033227	-0.388618	1.070720	3.007350	1.039246	-0.130899	-0.866987	
2	1.075482	1.119658	1.101564	-2.685479	-0.602056	-0.990217	1.046731	1.134205	0.268129	-0.328136	
2	-0.750257	0.168315	-0.493969	-1.473120	0.710538	-1.299656	1.689733	0.527771	0.029081	0.963418	
2	-0.407810	-0.650180	0.802495	-1.600659	0.406865	1.341941	1.666527	-0.070741	1.130347	-0.904107	
2	0.532040	-1.140197	-1.007966	-4.034284	0.595019	0.970791	-0.287502	1.320486	-0.769751	0.427067	
2	-0.019126	-0.971211	1.922060	-1.786073	-0.504650	-0.849795	-0.487005	1.670190	-0.739817	-0.199028	
2	1.439141	1.792071	0.168129	-0.868205	1.855430	-0.049388	-1.669182	-0.517113	-1.788351	0.214458	
2	-0.870152	0.108430	-0.026186	-0.793686	-0.474988	1.857248	-0.975265	2.030441	-1.527398	-0.419008	
2	1.487747	-1.075375	-0.404655	-3.518896	0.003461	-1.160908	-0.285797	-1.665806	0.269470	1.216542	
2	-0.332865	-1.114543	-0.536850	-1.772684	-0.694954	0.330497	-0.092191	-1.594743	-0.087772	1.522815	
2	-0.145341	-0.739020	-0.485735	-0.680708	1.275201	-1.390352	0.325278	-0.584842	0.769458	0.062211	
2	-0.451349	-0.210358	-0.353573	-2.133036	-0.955190	0.173983	0.153787	-0.522234	-0.513052	-1.930161	
2	-0.540747	2.043044	1.291164	-0.815779	-1.430918	0.309081	-1.193385	0.510355	0.456511	0.062306	
2	1.682165	0.050995	0.535268	-2.536139	-0.312222	-0.182844	-0.330344	0.716114	0.749295	1.375029	
2	-0.801780	-1.241722	0.008275	-0.551560	2.057221	0.946882	1.738295	-0.710183	1.926703	0.157750	
2	1.283951	-0.720825	-1.006696	-0.090872	-0.267031	-0.136726	-0.302764	0.951121	-0.086363	-0.363136	
2	-0.140380	-0.981422	-1.697258	-0.686330	-0.751674	1.192242	-0.923455	0.697977	-0.184106	-0.101113	
2	-0.068733	1.361525	1.816218	-1.678201	0.010729	1.101429	-0.255567	-1.453810	0.088230	-3.000573	
2	0.147100	2.035499	-0.145238	-1.545221	0.225569	-0.276745	0.336793	0.585496	0.074207	-0.220374	
2	-0.073851	1.563775	-0.139628	-2.139586	-0.293606	0.261700	-0.389166	1.077238	-0.170897	-0.464624	
2	-1.327638	-0.335501	-1.131853	-1.938304	0.482589	0.211522	-0.429146	-1.018261	1.875026	-0.389885	
2	-0.999168	1.227780	0.612621	-0.876900	-1.541576	0.971438	-0.345374	-0.553327	1.238620	-0.063140	
2	0.435025	-0.035126	-0.906137	-1.417740	-1.432680	1.250160	1.194758	0.998710	-0.518873	-1.385581	
2	-0.280602	-0.121191	0.884436	-1.349339	-3.555789	0.797662	0.844758	2.195796	0.827610	-1.585523	
2	0.183677	-1.079306	-2.360085	-0.633839	0.080790	0.027900	-0.754751	-0.346967	1.243983	0.592724	
2	0.675992	-0.238751	0.420889	-0.918019	1.442939	-0.890406	-0.750551	-0.324203	-0.933344	-0.693874	
2	0.148322	-0.772925	0.183455	-1.270273	0.238116	-1.289454	-1.751088	0.529376	-1.072529	-0.487362	
2	-0.434733	-0.223426	0.500808	-0.513756	0.122721	1.105078	1.134212	-0.257506	-0.345410	0.708569	
2	-0.083362	-0.629078	-0.330186	-1.434000	0.845333	2.005700	-0.108164	-0.860346	0.230047	-0.318844	
2	1.361803	-0.326952	-2.413556	-2.789211	-0.341496	0.272379	-0.243681	-1.248974	0.119509	0.700738	
2	0.674481	-1.575435	-0.962842	-1.591640	-0.607628	-0.068548	0.180208	-1.659172	-0.103739	0.235550	
2	0.803192	0.541538	2.715049	0.374899	0.270601	0.940558	-1.308279	1.874901	0.196357	-0.306728	
